Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"7,405",290,315,25.5,2.9,"2,550",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"210,513","3,611","3,780",58.3,36.1,"5,830",,"185,900",51.5
E09000003,Barnet,Outer,"391,446","8,675","8,675",45.1,86.7,"4,512",,"356,400",41.1
E09000004,Bexley,Outer,"247,179","6,058","6,429",40.8,60.6,"4,080",,"232,000",38.3
E09000005,Brent,Outer,"332,750","4,323","4,323",77.0,43.2,"7,697",,"311,200",72.0
E09000006,Bromley,Outer,"330,909","15,013","15,013",22.0,150.1,"2,204",,"309,400",20.6
E09000007,Camden,Inner,"249,556","2,179","2,179",114.5,21.8,"11,453",,"220,300",101.1
E09000008,Croydon,Outer,"386,346","8,650","8,650",44.7,86.5,"4,466",,"363,400",42.0
E09000009,Ealing,Outer,"347,126","5,554","5,554",62.5,55.5,"6,250",,"338,400",60.9
E09000010,Enfield,Outer,"335,647","8,083","8,220",41.5,80.8,"4,152",,"312,500",38.7
E09000011,Greenwich,Outer,"282,774","4,733","5,044",59.7,47.3,"5,974",,"254,600",53.8
E09000012,Hackney,Inner,"277,475","1,905","1,905",145.7,19.0,"14,566",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"181,889","1,640","1,715",110.9,16.4,"11,093",,"182,500",111.3
E09000014,Haringey,Inner,"282,397","2,960","2,960",95.4,29.6,"9,541",,"254,900",86.1
E09000015,Harrow,Outer,"252,052","5,046","5,046",49.9,50.5,"4,995",,"239,100",47.4
E09000016,Havering,Outer,"256,162","11,235","11,446",22.8,112.3,"2,280",,"237,200",21.1
E09000017,Hillingdon,Outer,"307,040","11,570","11,570",26.5,115.7,"2,654",,"273,900",23.7
E09000018,Hounslow,Outer,"274,970","5,598","5,659",49.1,56.0,"4,912",,"254,000",45.4
E09000019,Islington,Inner,"235,370","1,486","1,486",158.4,14.9,"15,843",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"157,954","1,212","1,238",130.3,12.1,"13,028",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"178,419","3,726","3,726",47.9,37.3,"4,788",,"160,100",43.0
E09000022,Lambeth,Inner,"331,157","2,681","2,725",123.5,26.8,"12,352",,"303,100",113.1
E09000023,Lewisham,Inner,"306,380","3,515","3,532",87.2,35.1,"8,717",,"275,900",78.5
E09000024,Merton,Outer,"208,225","3,762","3,762",55.3,37.6,"5,534",,"199,700",53.1
E09000025,Newham,Inner,"347,448","3,620","3,857",96.0,36.2,"9,598",,"308,000",85.1
E09000026,Redbridge,Outer,"303,887","5,642","5,644",53.9,56.4,"5,386",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"197,988","5,741","5,876",34.5,57.4,"3,449",,"187,000",32.6
E09000028,Southwark,Inner,"317,735","2,886","2,991",110.1,28.9,"11,009",,"288,300",99.9
E09000029,Sutton,Outer,"204,933","4,385","4,385",46.7,43.8,"4,674",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"311,044","1,978","2,158",157.2,19.8,"15,724",,"254,100",128.5
E09000031,Waltham Forest,Outer,"280,050","3,881","3,881",72.2,38.8,"7,216",,"258,200",66.5
E09000032,Wandsworth,Inner,"319,731","3,426","3,522",93.3,34.3,"9,331",,"307,000",89.6
E09000033,Westminster,Inner,"250,049","2,149","2,203",116.4,21.5,"11,637",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,575,589","31,929","32,796",112.0,319.3,"11,198",,"3,231,900",101.2
E13000002,Outer London,,"5,328,414","125,424","126,676",42.5,"1,254.2","4,248",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"8,904,004","157,215","159,471",56.6,"1,572.1","5,664",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
