Area name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2015 Raw Average Point Score Per Pupil
Barking and Dagenham,44.5,49.7,46.7,46.1,46.4,49.7,50.5,49.3,48,47.2,369.3
Barnet,51.1,56.1,54.7,56.0,57.1,60.1,60.8,58.1,57.1,57.3,423.8
Bexley,48.7,52.2,49.0,49.6,49.6,53.5,54,52.3,49.7,50.4,404.4
Brent,46.2,51.5,49.0,49.9,50.2,53.1,53.7,52.4,50.5,51.6,383.4
Bromley,48.6,53.7,49.8,50.3,50.8,54.5,55.2,53.9,51.2,50.5,403.2
Camden,47.3,50.6,48.3,48.0,48.6,52.2,53.1,52.4,48,47.9,392.5
Croydon,47.0,48.5,45.0,45.8,45.5,48.9,50,47.6,45.7,44.8,390.4
Ealing,46.5,50.9,48.7,50.0,50.9,53.5,53.6,53.7,52,52,385.7
Enfield,45.8,50.4,46.2,46.3,46.5,49.8,51.1,48.6,47,46.9,380.3
Greenwich,45.1,49.6,45.9,44.5,45.3,50.2,51.2,49.4,47,46.5,374.7
Hackney,45.4,52.5,49.4,49.0,49.2,53.2,54,51.9,51.4,51.2,376.7
Hammersmith and Fulham,48.4,54.1,50.9,52.9,53.9,56.1,58.1,57.4,54.8,55.9,401.6
Haringey,43.5,50.1,46.5,46.3,46.9,51.4,51.4,50.5,48.2,48.1,361.2
Harrow,49.7,53.1,49.7,50.7,50.9,53.4,54.8,54.2,51.6,52.2,412.5
Havering,44.8,50.0,47.5,46.9,48.5,51.9,52.2,50.3,47.4,48.8,371.6
Hillingdon,46.7,51.2,47.1,47.8,47.7,52.1,52.8,51.8,48.9,49.3,387.6
Hounslow,48.9,51.1,48.0,49.4,49.3,52.6,53.9,52.6,49.9,50.1,405.8
Islington,44.7,50.6,45.6,46.3,45.8,49.7,52.2,49.9,46.7,48,370.7
Kensington and Chelsea,50.4,56.6,55.0,51.6,53.6,58.0,57.9,53.6,53.5,54.5,418.2
Kingston upon Thames,54.1,58.2,55.5,57.8,56.9,58.9,61.4,60.2,58.6,59.1,449.4
Lambeth,44.9,49.7,44.3,44.6,44.1,49.3,51.3,46.3,44.8,45.2,372.6
Lewisham,43.4,47.5,44.2,44.9,43.7,48.4,49.1,47.8,45.4,45.9,360.2
Merton,45.7,52.4,50.2,49.7,51.1,53.1,53.2,53.6,52.2,51.7,379.2
Newham,46.7,50.9,48.4,48.7,48.8,53.1,54.5,53.8,51.1,51.1,387.4
Redbridge,48.2,53.9,51.2,53.1,54.0,56.0,56.8,56.5,54.6,55.2,400.3
Richmond upon Thames,49.7,54.6,52.7,51.7,54.1,57.5,58.1,58,55.9,56.4,412.8
Southwark,48.5,52.9,50.5,50.2,49.5,53.7,55,53.6,51.9,51.9,402.9
Sutton,54.3,58.7,56.2,58.1,58.6,61.3,62,61,59.9,59.1,450.6
Tower Hamlets,47.6,50.2,47.2,46.8,48.4,50.1,51.7,49.8,48.6,48.3,395.1
Waltham Forest,44.9,50.4,45.5,46.1,46.2,50.0,51.5,48.2,45.7,45.7,372.5
Wandsworth,47.5,52.1,49.5,50.8,49.4,52.7,52.2,54,50.4,52.1,393.9
Westminster,48.9,54.5,52.6,52.9,53.4,57.1,57.6,57.3,54.3,53.8,406.0
,,,,,,,,,,,
"""Average Attainment 8 score per pupil"", https://data.london.gov.uk/dataset/gcse-results-by-borough and https://data.london.gov.uk/dataset/gcse-results-by-borough--old-grading-system- (2015)",,,,,,,,,,,
