Code,Area name,2015,2015 Conf,2016,2016 Conf,2017,2017 Conf,2018,2018 Conf,2019,2019 Conf,2020,2020 Conf,2021,2021 Conf,2022,2022 Conf,2023,2023 Conf,2024,2024 Conf
00AA,City of London,#,#,#,#,#,#,909.4,19,#,#,#,#,#,#,#,#,#,#,#,#
00AB,Barking and Dagenham,436.6,5.4,462.2,4.5,461,5.1,479.1,4.9,471,6.1,486.7,6.5,508.7,7.4,536.6,5.1,558.4,4.5,612.9,4.5
00AC,Barnet,491,4.9,485.6,5.4,522.6,4.5,536.6,4.6,536.4,4.4,538.8,4.1,574.9,5.8,624.3,4.6,633.1,4.4,714.6,3.8
00AD,Bexley,491.1,4.8,487,5.6,513,4.6,512.7,5.4,553.4,5.1,566.5,7.6,586.6,5.8,634.4,5.2,680.2,4.8,694.4,4.4
00AE,Brent,457.6,4.1,467,4.2,471,4.7,479.9,3.9,524,4,531.8,6.3,555.7,5.2,556.6,4,634.6,3.8,646.2,3.7
00AF,Bromley,583.8,4,584.3,4.6,608,4.8,632.7,4.3,638.3,5,613.2,7,666.6,5.5,704.2,4.8,718,6.3,818.9,4.4
00AG,Camden,588.1,6.4,632.5,5.7,614.3,4.1,634.4,6.2,662,6.7,623,7.1,695,5.9,699.2,5.6,732.1,6.1,766.6,4.6
00AH,Croydon,492.2,3.8,512.3,3.7,538.5,3.9,550.6,3.7,561.7,3.8,565.1,4.8,613.3,4.1,667,4.5,678,3.3,721.3,3
00AJ,Ealing,495.7,4.2,498.3,3.6,517.2,3,524.3,4.4,532.2,3.9,566.8,4.5,582.6,4.3,597.4,3.3,623.1,3.5,684.8,3.2
00AK,Enfield,473.6,4.9,463.9,4.5,479.8,4.4,464.8,4.7,490.1,4.6,492.6,5.3,521.5,5,562,5.5,598.2,4.7,646.2,4.2
00AL,Greenwich,532.5,4.2,539.3,4.5,553,3.4,566,3.3,579.5,5,573.1,6.4,618.3,5.1,657.4,4.5,719.4,3.8,749.6,4
00AM,Hackney,534.5,4.2,527.8,3.9,558.1,4.1,555.4,3.7,574.9,5,574.9,5.7,576.8,5.9,632.8,6.4,667.7,5.6,762.5,4
00AN,Hammersmith and Fulham,646.7,4.1,641.9,4.6,651.1,4.1,682,4.2,728,4.4,713.1,6.4,727,5.9,732.6,6.8,790.1,5,798.5,4.3
00AP,Haringey,500,3.8,481.9,5.1,525.3,5,551.4,4.3,547.6,5.4,567.8,6.3,546,6.2,604.3,6,668.4,6,727.8,4.1
00AQ,Harrow,505.1,4.3,522.8,4.5,543.4,4.2,534.9,5,581.9,4.6,570.5,6.6,580.2,6.1,619.6,6.3,625.2,6.7,669.2,4.9
00AR,Havering,517.5,4,532.6,4.5,534.2,5.3,544.8,3.9,568.5,4.2,574.9,5.4,585.7,5.3,612.9,4.8,670.7,6.2,710.8,3.9
00AS,Hillingdon,498.8,4.1,499.8,3.8,500.4,2.9,531.7,3.4,545.9,3.7,560.9,6,594.8,5.8,629.6,5.2,677.5,5.8,689.9,4.5
00AT,Hounslow,495.6,3.4,500.9,3.9,517,3.8,533.6,3.8,547.6,5,511.8,5.7,567.2,5.4,604.1,5.4,637.9,4.4,659.3,3.6
00AU,Islington,603.7,5.3,613.3,4.8,646.1,4.5,687.7,5.7,699.1,4.2,690.1,8.2,670.7,6.9,701.4,5.7,766.6,5.4,811.2,5.1
00AW,Kensington and Chelsea,632.4,9.6,651.6,6.9,784.4,6.7,670.6,11,763.7,11,802,12,763.6,12,719.1,9.3,855.9,9.9,810.1,11
00AX,Kingston upon Thames,574.6,6.4,566.7,6.5,579.9,6.8,629.7,6.2,628,6.4,617.3,7.7,667.9,8.1,668.1,6.5,684.3,7.6,727.4,6.6
00AY,Lambeth,542.9,3.5,551.7,3.2,594.6,3.3,617.1,3.2,634.8,4,670.8,5,681.2,4.2,703,4.3,774.1,3.2,797.4,3.5
00AZ,Lewisham,517.5,4.4,520.6,4.6,535.2,4.3,551.2,3.7,552,4,574.9,5.1,574.9,5.5,608.4,5,662.3,4.6,706.4,4.4
00BA,Merton,548.1,4.2,585.3,4.6,573,5.1,594.1,5,578.9,4.5,578.3,5.4,592.1,5.7,584.4,5.6,745.3,3.6,721.6,5.7
00BB,Newham,421.6,5,436.7,4.3,471.3,4.7,475.9,4.2,517.5,4.4,534.4,5.3,574.9,4.6,574.9,5.5,633.9,5,635.9,3.4
00BC,Redbridge,533.1,5.3,521.8,4.6,546.8,4.8,555.8,4.4,565.6,5.5,581.6,5.6,579.3,5.6,581.7,6.4,632.7,5.1,669,4.3
00BD,Richmond upon Thames,648,5.6,688.8,6.9,665.9,5.9,677.6,5.8,721.1,5.4,702.9,7.1,704.5,6.5,709.3,6,749.5,7.4,824,6.5
00BE,Southwark,557,3.9,543,3.6,587.1,3.1,589.4,3.4,628,3.4,620.9,5,637.8,4.9,672.3,4.5,731.5,4.4,788.6,3.5
00BF,Sutton,498.3,5,532.9,5,515.2,5.4,548.7,5,549,5.7,543.3,5,576.9,6.2,577.3,5.3,635.1,5.2,728.7,4.8
00BG,Tower Hamlets,554.9,4.6,557.9,4.6,592,4.8,627.6,4,688.9,4.5,665,6.5,685.2,5,725.2,4.5,785.8,4.3,766.5,4.5
00BH,Waltham Forest,476.3,5.2,483.4,4.8,499.4,4.4,529.7,4.6,574.9,5,596.8,6.5,629.6,4.2,647,4.8,683.5,3.4,717.7,4.5
00BJ,Wandsworth,670.1,3.6,684.7,3.9,681.2,3.8,695.7,3.3,720.9,3.6,755.2,5,746,5.2,835.8,5.4,844.7,4.8,843.3,3.5
00BK,Westminster,656,7.1,667.5,5.1,730.8,5.7,757.1,5.5,703.9,6.2,701.1,9.2,771.1,7.7,738.5,7.1,767.5,7.3,843.3,6.9
,,,,,,,,,,,,,,,,,,,,,
A,North East,394.7,1.2,405.1,1.6,416.1,1.5,420.3,1.3,438.2,1.5,438.5,1.8,463.6,1.4,490,1.2,527,1.1,562.5,1.1
B,North West,400,0.9,413.5,0.9,421.6,0.8,435,0.7,458,0.7,458.1,0.9,479.1,0.8,505,0.8,550.7,0.8,592.2,0.8
D,Yorkshire and The Humber,389.1,1,402.5,0.9,410.9,1,423.9,0.9,445.2,0.9,442.3,1.1,468.8,1,500,0.8,538.1,0.8,575.6,0.7
E,East Midlands,400.9,1.1,413.6,1,421.6,1.1,427.5,1.1,452.6,1,463,1.1,481.3,0.9,506.1,0.9,542.8,1,576.6,0.7
F,West Midlands,402.5,1,414.6,1,426.5,0.8,440,0.9,455.2,0.8,460,0.9,487.4,1,517.5,1,554.6,0.9,582.9,0.8
G,East,434.5,1,456.6,0.9,465.7,0.8,479.1,0.8,496.2,0.9,498.3,1.1,518.2,0.9,550.9,1.1,596.5,0.9,634.2,0.8
H,London,527.9,0.8,536.6,0.7,558.1,0.8,574.9,0.3,590.9,0.7,588.7,1.1,614.4,0.9,648.1,0.9,690.4,0.8,728.3,0.7
J,South East,467.9,0.8,479.1,0.6,484.8,0.6,495.9,0.7,516,0.7,510.6,0.7,544.1,0.7,570.7,0.6,608.5,0.6,654.8,0.6
K,South West,398.4,0.9,410.6,1,419.3,0.9,430.8,0.9,444.9,0.8,443.8,1.2,471.4,0.9,508.8,1,550.3,0.9,584.9,0.8
924,Wales,388.1,1.3,408,1.2,412.1,1.2,422.5,1.3,446.2,1.1,455.1,1.4,470.4,1,505.9,1.1,539.4,1.2,574.9,1.1
923,Scotland,423.6,0.9,433.2,0.9,441.4,0.8,452.6,0.9,472.8,0.8,487,0.9,504.7,0.9,528.6,0.8,592,1.1,614.3,0.7
922,Northern Ireland,381.7,1.7,392.5,1.6,407.4,1.7,420.2,1.7,429.3,1.4,432.7,1.6,469.5,1.2,499.2,1.1,523.3,1.2,563.4,1.1
,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,426.2,0.2,440.8,0.1,451,0.2,462.8,0.3,480,0.2,481.4,0.3,507.9,0.3,536.6,0.1,575.2,0.1,615.6,0.2
926,United Kingdom,425.1,0.2,438.4,0.2,448.5,0.2,460,0.1,479.1,0.1,479.1,0.1,505.1,0.2,533.7,0.2,574.9,0.1,613.3,0.1
