New Code,Old Code,Area name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,
E09000001,00AA,City of London,15.25,14.42,15.1,14.51,14.95,14.82,12.67,13.73,15,11.72
E09000002,00AB,Barking and Dagenham,7.12,8.94,10.58,10.17,10.98,9.86,10.31,11.41,11.01,10.12
E09000003,00AC,Barnet,14.24,14.41,15.91,17.21,16.28,16.24,16.44,17.34,14.59,16.69
E09000004,00AD,Bexley,9.14,11.04,10.9,11.34,11.21,11.55,13.26,11.87,11.63,11.07
E09000005,00AE,Brent,13.34,14.66,15.76,16.3,15.61,14.39,15.46,12.51,15.21,14.67
E09000006,00AF,Bromley,11.99,13.25,14.59,14.3,13.85,12.87,14.38,13.65,12.71,12.03
E09000007,00AG,Camden,18.46,19.49,20.1,19.39,19.26,19.79,18.9,18.39,17.65,15.66
E09000008,00AH,Croydon,9.63,10.51,11.21,11.09,10.8,11.34,11.8,10.72,10.85,9.58
E09000009,00AJ,Ealing,14.48,15.73,16.19,15.62,15.15,14.84,15.92,15.1,14.05,13.13
E09000010,00AK,Enfield,12.2,12.97,13.8,13.68,14.46,13.49,14.93,12.68,13.24,11.79
E09000011,00AL,Greenwich,10.89,12.76,12.87,12.97,13.78,13.04,13.36,14.09,12.56,11.76
E09000012,00AM,Hackney,14.63,16.57,15.77,15.59,16.45,17.67,15.28,13.96,13.31,11.88
E09000013,00AN,Hammersmith and Fulham,21.06,20.86,20.69,19.28,19.06,18.6,19.53,18.66,18.17,16.61
E09000014,00AP,Haringey,14.02,15.46,16.86,17.48,16.88,15.17,16.62,17.28,16.27,14.32
E09000015,00AQ,Harrow,14.46,14.73,16,15.55,13.96,15.69,15.38,15.69,15.22,14.93
E09000016,00AR,Havering,9.15,11.24,12.01,11.93,11.33,11.11,12.51,12.89,10.7,10.16
E09000017,00AS,Hillingdon,10.38,11.78,12.35,13.02,11.65,11.18,13.12,13.19,12.87,12.09
E09000018,00AT,Hounslow,10.08,10.76,11.14,11.41,11.18,11.5,11.86,12.17,12.13,11.4
E09000019,00AU,Islington,15.72,15.17,15.66,14.73,14.56,15.44,15.26,14.68,14.37,12.86
E09000020,00AW,Kensington and Chelsea,37.91,38.82,41.04,43.97,39.39,35.47,37.01,39.73,33.39,27.09
E09000021,00AX,Kingston upon Thames,13.97,14.64,15.49,15.79,15.19,14.04,14.7,14.86,14.76,13.51
E09000022,00AY,Lambeth,12.91,14.42,14.7,14.5,14.3,15.07,15.69,14.41,13.47,11.72
E09000023,00AZ,Lewisham,11.25,12.02,12.61,13.66,13.27,12.5,13.9,12.78,11.9,11.25
E09000024,00BA,Merton,13.2,16.19,15.46,15.36,14.81,14.65,15.92,16.19,14.67,13.94
E09000025,00BB,Newham,10.13,11.06,12.67,13.49,12.34,12.14,11.92,10.93,11.31,9.2
E09000026,00BC,Redbridge,11.68,13.46,14.22,15.74,14.22,13.22,15.72,14.18,14.52,13.21
E09000027,00BD,Richmond upon Thames,17.27,18.15,19.91,18.47,17.94,18.55,19.39,20.47,18.31,17.21
E09000028,00BE,Southwark,12.69,13.46,14.15,13.88,13.87,12.33,13.34,12.63,12.87,11.09
E09000029,00BF,Sutton,11.49,12.18,12.88,13.34,11.52,11.08,13.82,11.95,12.64,11.58
E09000030,00BG,Tower Hamlets,8.78,10.06,9.82,9.85,10.68,10.21,11.93,10,8.36,7.31
E09000031,00BH,Waltham Forest,12.26,14.79,15.64,14.85,14.41,13.26,15.39,16.17,14.27,13.26
E09000032,00BJ,Wandsworth,17.05,18.71,19.62,17.9,17.95,19.26,19.11,19.21,16.99,16.25
E09000033,00BK,Westminster,22.34,24.5,25.33,24.64,21.46,21.62,20.09,24.21,21.31,18.04
,,,,,,,,,,,,
E12000001,A,North East,5.15,5.22,5.21,5.31,5.21,5.21,5.81,5.25,5.3,4.85
E12000002,B,North West,5.55,5.64,5.79,5.84,5.86,5.91,6.76,6.52,6.35,5.86
E12000003,D,Yorkshire And The Humber,5.68,5.78,5.89,5.95,5.92,5.92,6.61,6.26,6.36,5.81
E12000004,E,East Midlands,6.28,6.48,6.84,6.96,6.86,6.89,8.04,7.78,7.8,7.06
E12000005,F,West Midlands,6.27,6.38,6.63,6.79,6.83,6.85,7.69,7.39,7.35,6.87
E12000006,G,East,8.42,8.96,9.66,9.78,9.47,9.51,10.57,10.27,9.98,9.07
E12000007,H,London,11.05,12.03,12.38,12.26,12.05,11.83,12.88,12.38,11.81,11.06
E12000008,J,South East,9.13,9.76,10.25,10.37,10.05,10.01,11.12,10.87,10.54,9.61
E12000009,K,South West,8.17,8.53,8.85,8.92,8.77,8.74,10,9.56,9.37,8.48
,,,,,,,,,,,,
E92000001,64,England,7.52,7.72,7.91,8.04,7.88,7.86,9.06,8.56,8.4,7.71
